SMILES,Comp1,Act1,Assay1,Type1,Comp2,Act2,Assay2,Type2,log(ActRatio)
C(CS)C(=O)NCC(=O)O,CHEMBL77677,2800,CHEMBL645648,ic50,CHEMBL315038,580000,CHEMBL645648,ic50,-2.316269962
C(CS)NC(=O)CC(=O)O,CHEMBL315038,580000,CHEMBL645648,ic50,CHEMBL77677,2800,CHEMBL645648,ic50,2.3162699622
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CCC4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)NCCCCCCCC(=O)NCC(=O)O,CHEMBL11056,150,CHEMBL653610,ic50,CHEMBL9996,50,CHEMBL653610,ic50,0.4771212547
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CCC4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)NCCCCCCCC(=O)NCC(=O)O,CHEMBL11056,156,CHEMBL710366,ic50,CHEMBL9996,34,CHEMBL710366,ic50,0.6616456813
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CCC4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)NCCCCCCCC(=O)NCCC(=O)O,CHEMBL11261,100,CHEMBL653610,ic50,CHEMBL11453,95,CHEMBL653610,ic50,0.0222763947
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CCC4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)NCCCCCCCC(=O)NCCC(=O)O,CHEMBL11261,94,CHEMBL710366,ic50,CHEMBL11453,53,CHEMBL710366,ic50,0.248851984
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CCC4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)NCCCCCCCC(=O)NCCCC(=O)O,CHEMBL11234,44,CHEMBL653610,ic50,CHEMBL248147,20,CHEMBL653610,ic50,0.3424226808
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CCC4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)NCCCCCCCNC(=O)CC(=O)O,CHEMBL9996,34,CHEMBL710366,ic50,CHEMBL11056,156,CHEMBL710366,ic50,-0.661645681
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CCC4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)NCCCCCCCNC(=O)CC(=O)O,CHEMBL9996,50,CHEMBL653610,ic50,CHEMBL11056,150,CHEMBL653610,ic50,-0.477121255
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CCC4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)NCCCCCCCNC(=O)CCC(=O)O,CHEMBL11453,53,CHEMBL710366,ic50,CHEMBL11261,94,CHEMBL710366,ic50,-0.248851984
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CCC4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)NCCCCCCCNC(=O)CCC(=O)O,CHEMBL11453,95,CHEMBL653610,ic50,CHEMBL11261,100,CHEMBL653610,ic50,-0.022276395
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CCC4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)NCCCCCCCNC(=O)CCCC(=O)O,CHEMBL248147,20,CHEMBL653610,ic50,CHEMBL11234,44,CHEMBL653610,ic50,-0.342422681
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)NCCCCCCC(=O)NCC(=O)O,CHEMBL584983,4100,CHEMBL1044799,ic50,CHEMBL573913,440,CHEMBL1044799,ic50,0.9693311802
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)NCCCCCCNC(=O)CC(=O)O,CHEMBL573913,440,CHEMBL1044799,ic50,CHEMBL584983,4100,CHEMBL1044799,ic50,-0.96933118
CC(=O)NCCCCc1cccc2c1OCCO2,CHEMBL136214,158.49,CHEMBL856174,ic50,CHEMBL342649,50.12,CHEMBL856174,ic50,0.4999908031
CC(=O)NCCCc1cccc2c1OCCO2,CHEMBL137948,125.89,CHEMBL856174,ic50,CHEMBL138053,15.85,CHEMBL856174,ic50,0.899961967
CC(=O)NCCCc1cccc2c1SCCO2,CHEMBL444857,158.49,CHEMBL856174,ic50,CHEMBL341761,10,CHEMBL856174,ic50,1.2000018654
CC(=O)NCCc1c(nc2n1cc(cc2)OC)c3ccccc3,CHEMBL1823017,28,CHEMBL1827743,ki,CHEMBL1823016,1100,CHEMBL1827743,ki,-1.594234654
CC(=O)NCCc1c(nc2n1cc(cc2)OC)c3ccccc3,CHEMBL1823017,8,CHEMBL1827744,ki,CHEMBL1823016,58.8,CHEMBL1827744,ki,-0.866287339
CC(=O)NCCn1c2c(ccc(n2)NCc3cccc(c3)C(F)(F)F)nc(c1=O)c4ccc(cc4)OC,CHEMBL494032,206,CHEMBL1010954,ic50,CHEMBL493139,360,CHEMBL1010954,ic50,-0.24243528
CC(=O)NCCn1c2c(ccc(n2)NCc3cccc(c3)C(F)(F)F)nc(c1=O)c4ccc(cc4)OC,CHEMBL494032,47,CHEMBL1010955,ic50,CHEMBL493139,120,CHEMBL1010955,ic50,-0.407083388
CC(=O)N[C@@H](Cc1cc(cc(c1)F)F)[C@@H](CNC2(CCC(=O)NC2)c3cccc(c3)C(C)(C)C)O,CHEMBL566810,180,CHEMBL1045212,ic50,CHEMBL570298,1100,CHEMBL1045212,ic50,-0.78612018
